 x , y , z , u , v , p 
0 , 0 , 0 , 0 , 0 , 0.0390052
0 , 0.00666667 , 0 , 0 , 0 , 0.0390008
0 , 0.0133333 , 0 , 0 , 0 , 0.0389906
0 , 0.02 , 0 , 0 , 0 , 0.0389799
0 , 0.0266667 , 0 , 0 , 0 , 0.038973
0 , 0.0333333 , 0 , 0 , 0 , 0.0389725
0 , 0.04 , 0 , 0 , 0 , 0.0389797
0 , 0.0466667 , 0 , 0 , 0 , 0.0389954
0 , 0.0533333 , 0 , 0 , 0 , 0.03902
0 , 0.06 , 0 , 0 , 0 , 0.0390535
0 , 0.0666667 , 0 , 0 , 0 , 0.0390959
0 , 0.0733333 , 0 , 0 , 0 , 0.0391472
0 , 0.08 , 0 , 0 , 0 , 0.039207
0 , 0.0866667 , 0 , 0 , 0 , 0.0392753
0 , 0.0933333 , 0 , 0 , 0 , 0.0393516
0 , 0.1 , 0 , 0 , 0 , 0.0394357
0 , 0.106667 , 0 , 0 , 0 , 0.0395269
0 , 0.113333 , 0 , 0 , 0 , 0.0396248
0 , 0.12 , 0 , 0 , 0 , 0.0397287
0 , 0.126667 , 0 , 0 , 0 , 0.0398376
0 , 0.133333 , 0 , 0 , 0 , 0.0399508
0 , 0.14 , 0 , 0 , 0 , 0.0400669
0 , 0.146667 , 0 , 0 , 0 , 0.0401847
0 , 0.153333 , 0 , 0 , 0 , 0.0403028
0 , 0.16 , 0 , 0 , 0 , 0.0404194
0 , 0.166667 , 0 , 0 , 0 , 0.0405328
0 , 0.173333 , 0 , 0 , 0 , 0.040641
0 , 0.18 , 0 , 0 , 0 , 0.0407418
0 , 0.186667 , 0 , 0 , 0 , 0.0408329
0 , 0.193333 , 0 , 0 , 0 , 0.040912
0 , 0.2 , 0 , 0 , 0 , 0.0409765
0 , 0.206667 , 0 , 0 , 0 , 0.0410239
0 , 0.213333 , 0 , 0 , 0 , 0.0410515
0 , 0.22 , 0 , 0 , 0 , 0.0410567
0 , 0.226667 , 0 , 0 , 0 , 0.0410368
0 , 0.233333 , 0 , 0 , 0 , 0.0409894
0 , 0.24 , 0 , 0 , 0 , 0.0409118
0 , 0.246667 , 0 , 0 , 0 , 0.0408018
0 , 0.253333 , 0 , 0 , 0 , 0.0406573
0 , 0.26 , 0 , 0 , 0 , 0.0404761
0 , 0.266667 , 0 , 0 , 0 , 0.0402565
0 , 0.273333 , 0 , 0 , 0 , 0.039997
0 , 0.28 , 0 , 0 , 0 , 0.0396964
0 , 0.286667 , 0 , 0 , 0 , 0.0393538
0 , 0.293333 , 0 , 0 , 0 , 0.0389685
0 , 0.3 , 0 , 0 , 0 , 0.0385402
0 , 0.306667 , 0 , 0 , 0 , 0.0380689
0 , 0.313333 , 0 , 0 , 0 , 0.0375552
0 , 0.32 , 0 , 0 , 0 , 0.0369997
0 , 0.326667 , 0 , 0 , 0 , 0.0364034
0 , 0.333333 , 0 , 0 , 0 , 0.0357677
0 , 0.34 , 0 , 0 , 0 , 0.0350944
0 , 0.346667 , 0 , 0 , 0 , 0.0343853
0 , 0.353333 , 0 , 0 , 0 , 0.0336428
0 , 0.36 , 0 , 0 , 0 , 0.0328693
0 , 0.366667 , 0 , 0 , 0 , 0.0320675
0 , 0.373333 , 0 , 0 , 0 , 0.0312404
0 , 0.38 , 0 , 0 , 0 , 0.0303909
0 , 0.386667 , 0 , 0 , 0 , 0.0295223
0 , 0.393333 , 0 , 0 , 0 , 0.0286379
0 , 0.4 , 0 , 0 , 0 , 0.027741
0 , 0.406667 , 0 , 0 , 0 , 0.0268351
0 , 0.413333 , 0 , 0 , 0 , 0.0259236
0 , 0.42 , 0 , 0 , 0 , 0.0250098
0 , 0.426667 , 0 , 0 , 0 , 0.0240973
0 , 0.433333 , 0 , 0 , 0 , 0.0231892
0 , 0.44 , 0 , 0 , 0 , 0.0222889
0 , 0.446667 , 0 , 0 , 0 , 0.0213995
0 , 0.453333 , 0 , 0 , 0 , 0.020524
0 , 0.46 , 0 , 0 , 0 , 0.0196652
0 , 0.466667 , 0 , 0 , 0 , 0.0188259
0 , 0.473333 , 0 , 0 , 0 , 0.0180087
0 , 0.48 , 0 , 0 , 0 , 0.0172158
0 , 0.486667 , 0 , 0 , 0 , 0.0164494
0 , 0.493333 , 0 , 0 , 0 , 0.0157116
0 , 0.5 , 0 , 0 , 0 , 0.0150041
0 , 0.506667 , 0 , 0 , 0 , 0.0143285
0 , 0.513333 , 0 , 0 , 0 , 0.0136862
0 , 0.52 , 0 , 0 , 0 , 0.0130783
0 , 0.526667 , 0 , 0 , 0 , 0.0125057
0 , 0.533333 , 0 , 0 , 0 , 0.0119693
0 , 0.54 , 0 , 0 , 0 , 0.0114696
0 , 0.546667 , 0 , 0 , 0 , 0.0110068
0 , 0.553333 , 0 , 0 , 0 , 0.0105813
0 , 0.56 , 0 , 0 , 0 , 0.0101929
0 , 0.566667 , 0 , 0 , 0 , 0.00984146
0 , 0.573333 , 0 , 0 , 0 , 0.00952664
